product,campaign_type,campaign,channel,date,conversions
product a,always on,always on,dv360 - prospecting,2020-01-01,2242.0662350159814
product a,always on,always on,dv360 - prospecting,2020-01-02,2124.7742833862148
product a,always on,always on,dv360 - prospecting,2020-01-03,2152.8116030618157
product a,always on,always on,dv360 - prospecting,2020-01-04,2250.7449810169155
product a,always on,always on,dv360 - prospecting,2020-01-05,2136.30051134557
product a,always on,always on,dv360 - prospecting,2020-01-06,4192.253400999919
product a,always on,always on,dv360 - prospecting,2020-01-07,1942.471935010557
product a,always on,always on,dv360 - prospecting,2020-01-08,2237.0025759119117
product a,always on,always on,dv360 - prospecting,2020-01-09,2250.5972070369166
product a,always on,always on,dv360 - prospecting,2020-01-10,2348.183035594122
product a,always on,always on,dv360 - prospecting,2020-01-11,2094.3284769684951
product a,always on,always on,dv360 - prospecting,2020-01-12,2180.8187094030664
product a,always on,always on,dv360 - prospecting,2020-01-13,3855.7022676760735
product a,always on,always on,dv360 - prospecting,2020-01-14,2112.133891354857
product a,always on,always on,dv360 - prospecting,2020-01-15,2145.4112032268849
product a,always on,always on,dv360 - prospecting,2020-01-16,2040.3361360976123
product a,always on,always on,dv360 - prospecting,2020-01-17,1900.5013389896153
product a,always on,always on,dv360 - prospecting,2020-01-18,2159.0998531379973
product a,always on,always on,dv360 - prospecting,2020-01-19,2214.20105228638
product a,always on,always on,dv360 - prospecting,2020-01-20,4128.0977484422719
product a,always on,always on,dv360 - prospecting,2020-01-21,2170.6541409350216
product a,always on,always on,dv360 - prospecting,2020-01-22,2389.57129332519
product a,always on,always on,dv360 - prospecting,2020-01-23,1920.0865251676964
product a,always on,always on,dv360 - prospecting,2020-01-24,2090.8622678529787
product a,always on,always on,dv360 - prospecting,2020-01-25,2287.0306251623692
product a,always on,always on,dv360 - prospecting,2020-01-26,2185.0255601442723
product a,always on,always on,dv360 - prospecting,2020-01-27,4243.1178342514168
product a,always on,always on,dv360 - prospecting,2020-01-28,2086.3541497094056
product a,always on,always on,dv360 - prospecting,2020-01-29,2138.7388591085514
product a,always on,always on,dv360 - prospecting,2020-01-30,2172.7823591728652
product a,always on,always on,dv360 - prospecting,2020-01-31,2244.2736024121587
product a,always on,always on,dv360 - prospecting,2020-02-01,2187.7559317759087
product a,always on,always on,dv360 - prospecting,2020-02-02,2024.9395885753127
product a,always on,always on,dv360 - prospecting,2020-02-03,3934.2303022181218
product a,always on,always on,dv360 - prospecting,2020-02-04,2228.7107273367965
product a,always on,always on,dv360 - prospecting,2020-02-05,2019.7505101801919
product a,always on,always on,dv360 - prospecting,2020-02-06,2267.542778099923
product a,always on,always on,dv360 - prospecting,2020-02-07,2248.8192203639169
product a,always on,always on,dv360 - prospecting,2020-02-08,2132.7524111428506
product a,always on,always on,dv360 - prospecting,2020-02-09,1953.3696202347048
product a,always on,always on,dv360 - prospecting,2020-02-10,4054.6650910531325
product a,always on,always on,dv360 - prospecting,2020-02-11,2416.3779783110917
product a,always on,always on,dv360 - prospecting,2020-02-12,2165.6718703604752
product a,always on,always on,dv360 - prospecting,2020-02-13,2176.6594269482071
product a,always on,always on,dv360 - prospecting,2020-02-14,2287.4112664045365
product a,always on,always on,dv360 - prospecting,2020-02-15,2142.0193703281
product a,always on,always on,dv360 - prospecting,2020-02-16,2107.21245326801
product a,always on,always on,dv360 - prospecting,2020-02-17,4188.4315332107326
product a,always on,always on,dv360 - prospecting,2020-02-18,2018.7309113430395
product a,always on,always on,dv360 - prospecting,2020-02-19,2169.370474468637
product a,always on,always on,dv360 - prospecting,2020-02-20,1967.0615420266365
product a,always on,always on,dv360 - prospecting,2020-02-21,2281.5485211442196
product a,always on,always on,dv360 - prospecting,2020-02-22,2083.7174700138185
product a,always on,always on,dv360 - prospecting,2020-02-23,2202.2745895319376
product a,always on,always on,dv360 - prospecting,2020-02-24,4118.9387320163878
product a,always on,always on,dv360 - prospecting,2020-02-25,2189.7921330224131
product a,always on,always on,dv360 - prospecting,2020-02-26,2098.0989126395134
product a,always on,always on,dv360 - prospecting,2020-02-27,2125.6236618167054
product a,always on,always on,dv360 - prospecting,2020-02-28,2167.4036942054677
product a,always on,always on,dv360 - prospecting,2020-02-29,2265.105494320685
product a,always on,always on,dv360 - prospecting,2020-03-01,2277.2344719165358
product a,always on,always on,dv360 - prospecting,2020-03-02,3979.7516208728989
product a,always on,always on,dv360 - prospecting,2020-03-03,2019.5751824468837
product a,always on,always on,dv360 - prospecting,2020-03-04,1979.619499626986
product a,always on,always on,dv360 - prospecting,2020-03-05,2151.9431968751892
product a,always on,always on,dv360 - prospecting,2020-03-06,2265.3479476040484
product a,always on,always on,dv360 - prospecting,2020-03-07,2118.5439315811882
product a,always on,always on,dv360 - prospecting,2020-03-08,2136.7501990812307
product a,always on,always on,dv360 - prospecting,2020-03-09,3873.7468412695162
product a,always on,always on,dv360 - prospecting,2020-03-10,2086.5784217699361
product a,always on,always on,dv360 - prospecting,2020-03-11,2269.534732706587
product a,always on,always on,dv360 - prospecting,2020-03-12,2125.546863468041
product a,always on,always on,dv360 - prospecting,2020-03-13,2310.709048719676
product a,always on,always on,dv360 - prospecting,2020-03-14,2173.3947517340575
product a,always on,always on,dv360 - prospecting,2020-03-15,2028.3757373181588
product a,always on,always on,dv360 - prospecting,2020-03-16,3992.6188204735231
product a,always on,always on,dv360 - prospecting,2020-03-17,2191.0481517262583
product a,always on,always on,dv360 - prospecting,2020-03-18,2256.143403222602
product a,always on,always on,dv360 - prospecting,2020-03-19,2052.710722929754
product a,always on,always on,dv360 - prospecting,2020-03-20,2275.4861831426856
product a,always on,always on,dv360 - prospecting,2020-03-21,2238.4003368959388
product a,always on,always on,dv360 - prospecting,2020-03-22,2292.1782407400256
product a,always on,always on,dv360 - prospecting,2020-03-23,4014.8251525459996
product a,always on,always on,dv360 - prospecting,2020-03-24,2304.8650988125778
product a,always on,always on,dv360 - prospecting,2020-03-25,2331.6610341028054
product a,always on,always on,dv360 - prospecting,2020-03-26,2110.1456496150372
product a,always on,always on,dv360 - prospecting,2020-03-27,1968.220906968927
product a,always on,always on,dv360 - prospecting,2020-03-28,2107.0175579690444
product a,always on,always on,dv360 - prospecting,2020-03-29,2151.9668544073866
product a,always on,always on,dv360 - prospecting,2020-03-30,3860.8091370832012
product a,always on,always on,dv360 - prospecting,2020-03-31,2209.7646483007775
product a,always on,always on,dv360 - prospecting,2020-04-01,2128.9485136760645
product a,always on,always on,dv360 - prospecting,2020-04-02,2197.6728489093221
product a,always on,always on,dv360 - prospecting,2020-04-03,1989.3621549469028
product a,always on,always on,dv360 - prospecting,2020-04-04,2035.3092244005845
product a,always on,always on,dv360 - prospecting,2020-04-05,2052.38514509223
product a,always on,always on,dv360 - prospecting,2020-04-06,4101.8983045990535
product a,always on,always on,dv360 - prospecting,2020-04-07,2234.3821883195578
product a,always on,always on,dv360 - prospecting,2020-04-08,2172.883823366361
product a,always on,always on,dv360 - prospecting,2020-04-09,2312.4995034053263
product a,always on,always on,dv360 - prospecting,2020-04-10,2227.9058719541581
product a,always on,always on,dv360 - prospecting,2020-04-11,2120.0963895220589
product a,always on,always on,dv360 - prospecting,2020-04-12,1996.0643689777269
product a,always on,always on,dv360 - prospecting,2020-04-13,4021.4133969864592
product a,always on,always on,dv360 - prospecting,2020-04-14,2047.9091547126152
product a,always on,always on,dv360 - prospecting,2020-04-15,2059.9676739202373
product a,always on,always on,dv360 - prospecting,2020-04-16,2341.3566792451397
product a,always on,always on,dv360 - prospecting,2020-04-17,2316.2719360102906
product a,always on,always on,dv360 - prospecting,2020-04-18,2223.6609783046015
product a,always on,always on,dv360 - prospecting,2020-04-19,2214.1249782284685
product a,always on,always on,dv360 - prospecting,2020-04-20,4124.7237101325036
product a,always on,always on,dv360 - prospecting,2020-04-21,2224.117268879837
product a,always on,always on,dv360 - prospecting,2020-04-22,2292.1073723703739
product a,always on,always on,dv360 - prospecting,2020-04-23,2248.7009589140389
product a,always on,always on,dv360 - prospecting,2020-04-24,2196.1190448947909
product a,always on,always on,dv360 - prospecting,2020-04-25,2017.8077946824667
product a,always on,always on,dv360 - prospecting,2020-04-26,2096.1487061229077
product a,always on,always on,dv360 - prospecting,2020-04-27,3734.4309987391403
product a,always on,always on,dv360 - prospecting,2020-04-28,2018.6523225810859
product a,always on,always on,dv360 - prospecting,2020-04-29,2097.8088893178533
product a,always on,always on,dv360 - prospecting,2020-04-30,2216.7661542734359
product a,always on,always on,dv360 - prospecting,2020-05-01,2109.6824105905921
product a,always on,always on,dv360 - prospecting,2020-05-02,2076.7634721544382
product a,always on,always on,dv360 - prospecting,2020-05-03,2128.7525264123028
product a,always on,always on,dv360 - prospecting,2020-05-04,3903.608098581853
product a,always on,always on,dv360 - prospecting,2020-05-05,2074.2922554637166
product a,always on,always on,dv360 - prospecting,2020-05-06,2327.7959646993413
product a,always on,always on,dv360 - prospecting,2020-05-07,2031.6229501754235
product a,always on,always on,dv360 - prospecting,2020-05-08,2167.505347769069
product a,always on,always on,dv360 - prospecting,2020-05-09,2142.5803520971967
product a,always on,always on,dv360 - prospecting,2020-05-10,2040.8647948057637
product a,always on,always on,dv360 - prospecting,2020-05-11,4075.0730906433423
product a,always on,always on,dv360 - prospecting,2020-05-12,2059.0914833384936
product a,always on,always on,dv360 - prospecting,2020-05-13,2223.5641623773513
product a,always on,always on,dv360 - prospecting,2020-05-14,2175.82812201366
product a,always on,always on,dv360 - prospecting,2020-05-15,2167.1435206106289
product a,always on,always on,dv360 - prospecting,2020-05-16,2142.3517411825192
product a,always on,always on,dv360 - prospecting,2020-05-17,2294.8443577824464
product a,always on,always on,dv360 - prospecting,2020-05-18,4122.9718784827492
product a,always on,always on,dv360 - prospecting,2020-05-19,2156.7480852952795
product a,always on,always on,dv360 - prospecting,2020-05-20,2151.4080541548024
product a,always on,always on,dv360 - prospecting,2020-05-21,2471.9748636423719
product a,always on,always on,dv360 - prospecting,2020-05-22,2161.5125949497028
product a,always on,always on,dv360 - prospecting,2020-05-23,2069.4081919237215
product a,always on,always on,dv360 - prospecting,2020-05-24,2162.0962854456229
product a,always on,always on,dv360 - prospecting,2020-05-25,3932.7337318518271
product a,always on,always on,dv360 - prospecting,2020-05-26,2240.0554540695716
product a,always on,always on,dv360 - prospecting,2020-05-27,2110.0933963099274
product a,always on,always on,dv360 - prospecting,2020-05-28,2057.2202886315549
product a,always on,always on,dv360 - prospecting,2020-05-29,2124.169127669873
product a,always on,always on,dv360 - prospecting,2020-05-30,2307.5513554626064
product a,always on,always on,dv360 - prospecting,2020-05-31,2189.5720638537223
product a,always on,always on,dv360 - prospecting,2020-06-01,3919.5485819743058
product a,always on,always on,dv360 - prospecting,2020-06-02,2200.9528990972181
product a,always on,always on,dv360 - prospecting,2020-06-03,2114.4987102233104
product a,always on,always on,dv360 - prospecting,2020-06-04,2263.6782128724362
product a,always on,always on,dv360 - prospecting,2020-06-05,2345.2086679938875
product a,always on,always on,dv360 - prospecting,2020-06-06,2045.3968384161913
product a,always on,always on,dv360 - prospecting,2020-06-07,2051.7739870474161
product a,always on,always on,dv360 - prospecting,2020-06-08,4023.8235272516758
product a,always on,always on,dv360 - prospecting,2020-06-09,2235.7468876469052
product a,always on,always on,dv360 - prospecting,2020-06-10,2287.9283284387711
product a,always on,always on,dv360 - prospecting,2020-06-11,2100.6210138713832
product a,always on,always on,dv360 - prospecting,2020-06-12,2270.9472910857708
product a,always on,always on,dv360 - prospecting,2020-06-13,2298.6473277012433
product a,always on,always on,dv360 - prospecting,2020-06-14,2250.5974088964476
product a,always on,always on,dv360 - prospecting,2020-06-15,4061.0494896906553
product a,always on,always on,dv360 - prospecting,2020-06-16,2287.8355160920519
product a,always on,always on,dv360 - prospecting,2020-06-17,2234.9806700150975
product a,always on,always on,dv360 - prospecting,2020-06-18,2238.9529991399272
product a,always on,always on,dv360 - prospecting,2020-06-19,2214.3390605805162
product a,always on,always on,dv360 - prospecting,2020-06-20,2116.02776073733
product a,always on,always on,dv360 - prospecting,2020-06-21,2242.7999570151428
product a,always on,always on,dv360 - prospecting,2020-06-22,4022.3395922148561
product a,always on,always on,dv360 - prospecting,2020-06-23,2310.0684961307456
product a,always on,always on,dv360 - prospecting,2020-06-24,2294.393172002583
product a,always on,always on,dv360 - prospecting,2020-06-25,2107.163597778851
product a,always on,always on,dv360 - prospecting,2020-06-26,2345.4109457674454
product a,always on,always on,dv360 - prospecting,2020-06-27,2242.6700215641627
product a,always on,always on,dv360 - prospecting,2020-06-28,2153.2166766396085
product a,always on,always on,dv360 - prospecting,2020-06-29,3865.0047381755744
product a,always on,always on,dv360 - prospecting,2020-06-30,1972.4786758496257
product a,always on,always on,dv360 - prospecting,2020-07-01,2039.9912699412864
product a,always on,always on,dv360 - prospecting,2020-07-02,2278.8638041770587
product a,always on,always on,dv360 - prospecting,2020-07-03,1960.3159960968403
product a,always on,always on,dv360 - prospecting,2020-07-04,2108.2923945160346
product a,always on,always on,dv360 - prospecting,2020-07-05,2180.2947930560472
product a,always on,always on,dv360 - prospecting,2020-07-06,4131.5680514119
product a,always on,always on,dv360 - prospecting,2020-07-07,2140.3715108458046
product a,always on,always on,dv360 - prospecting,2020-07-08,2153.6980483988641
product a,always on,always on,dv360 - prospecting,2020-07-09,2230.112547068049
product a,always on,always on,dv360 - prospecting,2020-07-10,2045.0811329898866
product a,always on,always on,dv360 - prospecting,2020-07-11,2111.8715984696096
product a,always on,always on,dv360 - prospecting,2020-07-12,2119.5250202327247
product a,always on,always on,dv360 - prospecting,2020-07-13,4076.7233844728557
product a,always on,always on,dv360 - prospecting,2020-07-14,2077.0492877328111
product a,always on,always on,dv360 - prospecting,2020-07-15,2022.1306734082623
product a,always on,always on,dv360 - prospecting,2020-07-16,2021.3691339616153
product a,always on,always on,dv360 - prospecting,2020-07-17,2133.1060291250815
product a,always on,always on,dv360 - prospecting,2020-07-18,2153.4224937597219
product a,always on,always on,dv360 - prospecting,2020-07-19,2246.8454077385541
product a,always on,always on,dv360 - prospecting,2020-07-20,4200.8868864442729
product a,always on,always on,dv360 - prospecting,2020-07-21,2107.4224752996188
product a,always on,always on,dv360 - prospecting,2020-07-22,2347.3261928734055
product a,always on,always on,dv360 - prospecting,2020-07-23,2197.1534058526968
product a,always on,always on,dv360 - prospecting,2020-07-24,2124.2697695915622
product a,always on,always on,dv360 - prospecting,2020-07-25,2172.0238275396869
product a,always on,always on,dv360 - prospecting,2020-07-26,2261.3786551819621
product a,always on,always on,dv360 - prospecting,2020-07-27,4117.0965920871122
product a,always on,always on,dv360 - prospecting,2020-07-28,2190.3353012163097
product a,always on,always on,dv360 - prospecting,2020-07-29,2070.4243482523157
product a,always on,always on,dv360 - prospecting,2020-07-30,2391.0544656351449
product a,always on,always on,dv360 - prospecting,2020-07-31,2120.3654884393754
product a,always on,always on,dv360 - prospecting,2020-08-01,2275.2991009087527
product a,always on,always on,dv360 - prospecting,2020-08-02,2161.5710396261766
